Ref,Qty,Description,Value,Package,Manufacturer,MPN,Supplier,Supplier PN,Unit Cost (1-10),Notes
U1,1,BLE + USB OTG SoC module,ESP32-S3-MINI-1-N8,SMD module,Espressif,ESP32-S3-MINI-1-N8,LCSC,C2913206,$3.00–4.00,"8MB flash. Native USB OTG. Alt: ESP32-S3-MINI-1-N4R2 (C3013941, 4MB flash + 2MB PSRAM). Keep native USB in the main data path."
J1,1,USB-A male connector,USB-A plug,Through Hole,SOFNG,USB-05,LCSC,C112454,$0.04–0.08,"Locked P0 dongle connector. Use the SOFNG USB-05 datasheet geometry for the first footprint. LCSC category text may call this style a receptacle, but the manufacturer drawing is USB-A/M and that male-plug geometry is the load-bearing design intent here."
U2,1,3.3V low-Iq LDO regulator,RT9080-33GJ5,SOT-23-5,Richtek,RT9080-33GJ5,LCSC,C882092,$0.15,"Active-lane regulator baseline so the hub does not silently depend on dev-board power assumptions. Keep the first custom hub aligned with the same regulator family already published for the rings."
C1,2,Decoupling capacitor,100nF,0402,—,—,LCSC,—,$0.01,"Standard ceramic MLCC. One local to the regulator/power entry, one local to the ESP32-S3 module."
C2,1,Bulk capacitor,10µF,0603,—,—,LCSC,—,$0.01,"VBUS-side bulk/input capacitor for the hub power entry. Locking 0603 avoids pretending a marginal 0402 part will hold its capacitance honestly at bias."
C3,1,LDO output capacitor,1µF effective,0603,—,—,LCSC,—,$0.01,"Required for the RT9080-33GJ5 regulation path. Locking 0603 gives more realistic effective capacitance margin for the first board."
C4,1,EN RC support capacitor,1µF,0402,—,—,LCSC,—,$0.01,"First-board EN support capacitor so the ESP32-S3 EN path is not left floating. Commodity MLCC; keep sourceable but do not over-spec before bring-up."
R1,2,USB data line resistors,—,0402,—,—,LCSC,—,$0.01,"Per USB spec. Value depends on USB mode."
D1,1,USB ESD protection array,USBLC6-2SC6,SOT-23-6,STMicroelectronics,USBLC6-2SC6,LCSC,C7519,$0.07–0.11,"Locked P0 USB data/VBUS protector. Official USB 2.0-capable two-line array with VBUS protection. Place at the connector entry, not after a long stub."
LED1,1,Status LED (connection indicator),green,0402,—,—,LCSC,—,$0.01,"Optional. Shows pairing/connection state."
R2,1,LED current limit resistor,1kΩ,0402,—,—,LCSC,—,$0.01,"For status LED."
R3,1,EN pull resistor,10kΩ,0402,—,—,LCSC,—,$0.01,"First-board EN support resistor paired with C4. Commodity resistor; exact source can follow the assembly house's standard 0402 stock."
SW1,1,Boot/reset service button,tactile switch,service-size TBD,—,—,LCSC,—,$0.03,"Bring-up and recovery access. Do not force a 6x6mm tact into the stepped direct-plug body if that breaks the board envelope; a smaller tact or pad-actuated recovery path is acceptable. If a single switch is kept, the board still needs service pads for the rest of the bootstrap path."
PCB1,1,Rigid PCB,—,stepped USB-A nose + 54 x 26 mm body,JLCPCB,—,—,—,$0.30–0.50,"2-layer stepped direct-plug board. Host-side USB-A nose widens to the 54 x 26 mm module/service body; host fit and adjacent-port clearance remain unmeasured."
ENCL1,1,Enclosure,—,stepped direct-plug shell,—,—,—,—,$0.30–0.50,"3D-printed prototype enclosure should mechanically support the connector, follow the stepped USB-A nose plus 54 x 26 mm body, and reopen for service. Heat-shrink alone is not the preferred P0 service baseline; host-fit and adjacent-port clearance remain unmeasured."
,,,,,,,,,,"—"
,,TOTAL (estimated),,,,,,,"~$4.23–6.28","Dominated by ESP32-S3 module cost; includes first-pass USB protection, explicit 3.3V regulation, and the EN support pair."
,,TARGET BOM,,,,,,,"~$5–6",""
